Václav Růžička,Manažer,Družstevná 260;Kladno;678 88,+420 787 904 234,milkos77@seznam.cz,http://www.Lukas33.cz
Václav Doležal,Student,Za Plevnem 438;Brno;400 86,+420 698 523 519,trucker9995@seznam.cz,http://www.scaniaman29.cz
Karel Pospíšil,Ekonom,Skalka 682;Plzeň;390 39,+420 125 177 296,Lybbor44@seznam.cz,http://www.volvo32.cz
Zdeněk Beneš,Manažer,Šeříková 980;České Budějovice;286 38,+420 338 884 806,Smejo70@seznam.cz,http://www.trucker99938.cz
Stanislav Růžička,Kuchař,U Peráků 374;Havířov;142 72,+420 826 168 804,Karosak26@seznam.cz,http://www.Magnum923.cz
Jan Moravec,Kuchař,Po Vodě 94;Frýdek-Místek;970 37,+420 181 308 255,truckman4496@seznam.cz,http://www.truckman4471.cz
Oliver Kříž,Student,U Jitky 758;Karviná;665 82,+420 465 492 893,Lybbor46@seznam.cz,http://www.Lukas41.cz
Walter Sedláček,Krejčí,Družstevní 258;Pardubice;152 30,,VlkyScania3@seznam.cz,http://www.nim82.cz
František Beneš,Číšník,Lipová 907;Pardubice;803 58,+420 328 269 973,Lukas38@seznam.cz,http://www.nim27.cz
Václav Kratochvíl,Manažer,U Trojice 197;Liberec;675 32,+420 514 473 463,ViliQ36@seznam.cz,http://www.nim34.cz
Eduard Černý,Zednář,U Nových Domovů 235;Praha;390 11,+420 585 618 284,Papu71@seznam.cz,http://www.peta80994.cz
Stanislav Němec,Květinář,V Zátiší 530;Brno;276 25,+420 379 691 625,Smějo57@seznam.cz,http://www.VlkyScania15.cz
David Dvořák,Právník,Budějovická 6;Zlín;112 39,+420 601 598 914,stiv7@seznam.cz,http://www.RichardJohn35.cz
Zbyněk Růžička,Číšník,Třešňová 560;Olomouc;930 78,+420 467 309 471,volvo94@seznam.cz,http://www.volvo93.cz
Tadeáš Kratochvíl,Zednář,Na Moráni 909, Brno;940 93,+420 462 542 528,miki26@seznam.cz,http://www.Paya92.cz
,Prodavač,Horní Náměstíčko 416;Brno;591 40,+420 855 959 614,Mcunas94@seznam.cz,http://www.Pavlos24.cz
Vladimír Růžička,Učitel,V Zatiší 2;Praha;122 94,+420 971 484 484,Nomad73@seznam.cz,http://www.ScaniaSevHvez98.cz
Jaroslav Veselý,Prodavač,Urbinská 587;Teplice;340 21,+420 358 196 178,truckman4436@seznam.cz,http://www.Karosak38.cz
Petr Kratochvíl,Manažer,Rybniční 868;Děčín;804 90,+420 930 776 387,milkos20@seznam.cz
Eduard Sedláček,Právník,Rožmberská 897;Jihlava;699 24,+420 126 958 343,ludvo81@seznam.cz,
