Urban Svoboda,Programátor Havraní 910;Most;383 84,+420 727 974 253,Papu21@seznam.cz,http://www.Lukas77.cz
Pavel, Procházka,Květinář,Příční 662;Plzeň;949 27,+420 967 446 783,slowakia10055@seznam.cz,http://www.spena5596.cz
Norbert Černý Kominík,Třešňová, 445;Teplice;+420 779 305 759,ViliQ74@seznam.cz,http://www.VlkyScania7.cz
Xaver Král,Právník,Na Moráni 237 Teplice,578 26,+420 217 545 607,Vajoja19@seznam.cz,http://www.ludvo63.cz
Dominik, Pospíšil,Kuchař,Urbinská 279;Liberec;199 82,+420 995 878 134,Smejo79@seznam.cz,http://www.stiv67.cz
Petr Veselý,Právník,Šeříková 680,Havířov,154 28,+420 703 271 735,McDrive8@seznam.cz,http://www.Vajoja36.cz
Bernard Kříž,Manažer Na Kovárně 980;Most;885 13,+420 868 588 307,Paya78@seznam.cz,http://www.miki46.cz
Čeněk Novák,Prodavač,U Peráků 523;Opava;949 33,+420 181 818 988,miki69@seznam.cz http://www.Nomad30.cz
Quido Král,Učitel,Hřbitovní 952;Ostrava +420 256 840 430,nemec38@seznam.cz,http://www.Lukas71.cz
Michal Veselý,Číšník,Krátká 177;Olomouc;190, 20,+420 567 271 926,Papu49@seznam.cz,http://www.rada95.cz
Václav Moravec,Prodavač,V Zatiší 298;Pardubice;172, 33,+420 365 328 179,ScaniaSevHvez66@seznam.cz,http://www.Ondrapajas80.cz
Quido Horák,Zednář,Průmyslová 666;Olomouc, miki40@seznam.cz,http://www.Nomad91.cz
Adolf Král,Student,Za Jitonou 670;Děčín;512 14,+420 772 856 945,http://www.milkos15.cz
Adam Fiala,Krejčí U Vltavy 568;Kladno;202 92,+420 860 602 597,motr10@seznam.cz,http://www.truckman4455.cz
Adolf Moravec,Zednář,Na Skalce 161;Frýdek-Místek;455, 65,+420 836 228 513,stiv84@seznam.cz,http://www.rada10.cz
Stanislav Doležal,Kuchař,Na Moráni 589;Hradec Králové;969, 73,+420 346 830 334,TheUndertaker18@seznam.cz,http://www.milkos68.cz
František Pokorný,Uklízeč,Šumavská 864;Frýdek-Místek;642, 33,+420 485 479 461,Vajoja18@seznam.cz,http://www.Mcunas49.cz
Ignác Kučera,Učitel Lipová 633;Opava;493 63,+420 490 740 468,slowakia10054@seznam.cz,http://www.rada5.cz
